2006.08.12 18:45 B C:\apache2triad\htdocs\atenanet_2\img\icones\hor-livres.gif --> ftp.p4.inf.br /public_html/atenanet2/img/icones hor-livres.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\alerta.gif --> ftp975.locaweb.com.br /public_html/area/img/icones alerta.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\apostila.gif --> ftp975.locaweb.com.br /public_html/area/img/icones apostila.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\enquete.gif --> ftp975.locaweb.com.br /public_html/area/img/icones enquete.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\gabarito.gif --> ftp975.locaweb.com.br /public_html/area/img/icones gabarito.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\hor-livres.gif --> ftp975.locaweb.com.br /public_html/area/img/icones hor-livres.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-apostila-virtual.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-apostila-virtual.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-apostila-virtual.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-apostila-virtual.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-atualidade.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-atualidade.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-backup.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-backup.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad-estudante.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad-estudante.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad-prof.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad-prof.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad-usuarios.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad-usuarios.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad1.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad1.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad1.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad1.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad2.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad2.gif
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad2.jpg --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad2.jpg
2008.04.12 17:14 B D:\apache2triad\htdocs\Exathum Locaweb\area\img\icones\ico-cad3.gif --> ftp975.locaweb.com.br /public_html/area/img/icones ico-cad3.gif
